trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.951229424500714}",25,0,-119.21921776040696,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.3, 'e': 0.9048374180359595}",20,0,-44.58462940358019,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
3,False,"{'a': 0.3, 'e': 0.8607079764250578}",20,0,-140.80339249745268,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.3, 'e': 0.8187307530779818}",35,0,-197.75191729355527,"{0: 23, 1: 4, 2: 4, 3: 0, 4: 4}",0
5,False,"{'a': 0.3, 'e': 0.7788007830714049}",30,0,-155.6677434954641,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.3, 'e': 0.7408182206817179}",35,0,-261.0401788272396,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 5}",0
7,False,"{'a': 0.3, 'e': 0.7046880897187134}",20,13,11.664703612446779,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.3, 'e': 0.6703200460356393}",35,0,-213.7896240959933,"{0: 24, 1: 1, 2: 2, 3: 5, 4: 3}",0
9,False,"{'a': 0.3, 'e': 0.6376281516217733}",30,0,-40.45008489568831,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.3, 'e': 0.6065306597126334}",25,0,-67.63852416031621,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.5769498103804866}",25,0,-13.73018048815826,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.3, 'e': 0.5488116360940264}",20,6,-28.33375232070133,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
13,False,"{'a': 0.3, 'e': 0.522045776761016}",25,0,-99.06460455989395,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.3, 'e': 0.4965853037914095}",25,0,-65.7868981836194,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.3, 'e': 0.47236655274101474}",20,0,-165.141238486493,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.3, 'e': 0.44932896411722156}",20,0,-91.71728105930809,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.3, 'e': 0.42741493194872665}",25,14,-33.41894151902789,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.3, 'e': 0.4065696597405991}",30,0,9.599339942318474,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.3, 'e': 0.3867410234545012}",20,4,14.437597742887931,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.3, 'e': 0.36787944117144233}",25,16,9.465555571570441,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.3, 'e': 0.3499377491111554}",20,8,-71.4196721036832,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 1}",1
22,False,"{'a': 0.3, 'e': 0.33287108369807955}",25,3,6.425850444907909,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.3, 'e': 0.3166367693790532}",25,11,-16.076836673421504,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.3, 'e': 0.3011942119122021}",25,9,-44.41774383948217,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
25,False,"{'a': 0.3, 'e': 0.2865047968601901}",25,0,-27.504705997990634,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
26,False,"{'a': 0.3, 'e': 0.2725317930340126}",25,0,24.89195835790298,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.3, 'e': 0.2592402606458915}",20,10,12.837856939542093,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.3, 'e': 0.24659696394160646}",30,22,14.313732655755256,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.3, 'e': 0.23457028809379762}",25,19,6.033307165316762,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.3, 'e': 0.22313016014842985}",20,6,10.728327058275145,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
31,False,"{'a': 0.3, 'e': 0.21224797382674307}",35,18,30.940202150806034,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.3, 'e': 0.2018965179946554}",25,6,11.80569523500985,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
33,False,"{'a': 0.3, 'e': 0.1920499086207541}",20,14,-1.7898683740937302,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.3, 'e': 0.18268352405273464}",20,14,11.28529102790858,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.3, 'e': 0.17377394345044514}",25,6,23.624744399682136,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.3, 'e': 0.16529888822158656}",20,5,19.873278763230143,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.3, 'e': 0.1572371663136276}",20,0,23.218309063435342,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.3, 'e': 0.14956861922263504}",20,6,19.91024331459674,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.3, 'e': 0.14227407158651356}",20,14,8.305080937959815,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.3, 'e': 0.1353352832366127}",25,12,22.44709722781316,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.3, 'e': 0.1287349035878042}",20,0,29.14224259383701,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.3, 'e': 0.12245642825298192}",20,8,8.145836100177421,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.3, 'e': 0.11648415777349698}",25,11,26.461371084602387,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.3, 'e': 0.11080315836233387}",20,10,9.454881096925355,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.3, 'e': 0.10539922456186435}",30,15,-14.903103814475681,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.3, 'e': 0.10025884372280372}",20,8,22.50059921136993,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.3, 'e': 0.09536916221554963}",20,8,25.19927107398193,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.3, 'e': 0.09071795328941248}",20,6,30.222256032654585,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.3, 'e': 0.08629358649937051}",20,15,6.958793353800867,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.3, 'e': 0.0820849986238988}",20,10,22.240369431802858,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.3, 'e': 0.07808166600115314}",20,0,33.281756765470554,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.3, 'e': 0.07427357821433389}",20,16,8.322975821071164,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.3, 'e': 0.07065121306042957}",20,9,12.23362897264934,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.3, 'e': 0.06720551273974976}",25,14,23.32421750449071,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.3, 'e': 0.06392786120670758}",20,12,15.7505395039326,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.3, 'e': 0.06081006262521796}",35,19,20.36203222753187,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.3, 'e': 0.05784432087483846}",30,24,10.916181345336522,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.3, 'e': 0.05502322005640722}",20,0,33.0327139860196,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.3, 'e': 0.052339705948432395}",25,8,8.159475448473557,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
