trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.951229424500714}",20,0,-67.21244142577955,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-84.0134385704984,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8607079764250578}",30,0,-273.0084597928961,"{0: 15, 1: 3, 2: 5, 3: 3, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.8187307530779818}",30,0,-81.71197079601754,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,-163.95426744464783,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.7408182206817179}",25,0,-227.3000594252833,"{0: 15, 1: 0, 2: 4, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.7046880897187134}",20,7,-87.86172038162147,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.6703200460356393}",20,0,-2.706019072784569,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.6376281516217733}",30,0,-263.0094035514962,"{0: 17, 1: 0, 2: 8, 3: 0, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,-97.5237621937217,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.5769498103804866}",25,0,-257.5342533148911,"{0: 10, 1: 4, 2: 5, 3: 2, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.5488116360940264}",20,0,-93.90122524030429,"{0: 11, 1: 1, 2: 6, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.522045776761016}",20,0,-99.05483944360516,"{0: 9, 1: 1, 2: 10, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.4965853037914095}",30,0,-231.64252643092706,"{0: 16, 1: 3, 2: 5, 3: 3, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.47236655274101474}",30,0,-125.41835358058357,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,0,-66.23816238040963,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.42741493194872665}",20,0,-114.42944865847527,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,0,-65.6964286993692,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.3867410234545012}",35,0,-75.03549759026882,"{0: 23, 1: 5, 2: 7, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,5,-83.34670357069776,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-48.79542170246127,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-17.837054424502522,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,0,-148.98462187910883,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-42.47963584280268,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-136.72076452939203,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-81.9633341223869,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-56.46640970056375,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-169.33322425880039,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,10,-32.31139392246637,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,0,-204.8733147299341,"{0: 14, 1: 6, 2: 7, 3: 0, 4: 3}",0
